,Experiment,F1 Score 1,F1 Score CV,Precision Score,Recall Score
0,model,0.9845164204741484,0.9845164204741484,0.9849764321635543,0.9846606043905576
1,model21,0.9845164204741484,0.9845164204741484,0.9849764321635543,0.9846606043905576
