CountryCode,Population,GDP_Per_Capita,Hospital_Beds_Per_Thousand,Life_Expectancy,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex,Mortality Rate,H5,V1,V3,ConfirmedCases,ConfirmedDeaths,StringencyIndex_Average_Category,GovernmentResponseIndex_Average_Category,ContainmentHealthIndex_Average_Category,EconomicSupportIndex_Category,Combined_Category
DNK,5882259.0,46682.515,2.5,80.9,35.377308394160586,40.4283302919708,41.42677919708029,33.43978102189781,0.5203638850287622,3000000.0,2,5,1210629148.0,3354763.0,0,1,0,2,SI0.0_GI1.0_CI0.0_EI2.0
DOM,11228821.0,14600.861,1.6,74.08,45.041660583941606,44.45102189781022,49.34432481751825,10.20757299270073,0.26867750134614005,748800.0,2,5,355086277.0,3306557.0,2,1,2,0,SI2.0_GI1.0_CI2.0_EI0.0
DZA,44903228.0,13913.839,1.9000000000000001,76.88,48.36772810218978,46.918585766423355,49.66275547445255,27.71441605839416,0.09008356555594797,1642713755.0,2,5,164288436.0,4433367.0,3,2,2,1,SI3.0_GI2.0_CI2.0_EI1.0
ECU,18001002.0,10581.936,1.5,77.01,47.739260948905105,54.64942518248176,53.253868613138685,64.41605839416059,1.2162738897883427,0.0,2,5,512715218.0,23995987.0,3,4,3,4,SI3.0_GI4.0_CI3.0_EI4.0
EGY,110990096.0,10550.206,1.6,71.99,43.27303832116788,46.32666970802919,45.02951642335766,55.394616788321166,0.12793048150312136,0.0,2,5,299535461.0,15562122.0,2,2,1,4,SI2.0_GI2.0_CI1.0_EI4.0
ESP,47558632.0,34272.36,2.97,83.56,44.95896897810219,50.03190693430657,48.299899635036496,62.15784671532847,1.467948955314441,26589481.0,2,5,6137378260.0,76515754.0,2,3,2,4,SI2.0_GI3.0_CI2.0_EI4.0
EST,1326064.0,29481.252,4.69,78.74,32.01828467153285,38.630629562043794,37.4275,47.05748175182482,0.9424087699128347,0.0,2,5,249263770.0,1369665.0,0,0,0,3,SI0.0_GI0.0_CI0.0_EI3.0
ETH,123379928.0,1729.927,0.3,66.6,45.03737226277372,43.14700729927007,48.28855839416059,7.162408759124087,0.03343052706188814,0.0,0,5,287288572.0,4520623.0,2,1,2,0,SI2.0_GI1.0_CI2.0_EI0.0
FIN,5540745.0,40585.721,3.28,81.91,32.519306569343065,43.79566605839416,41.52480839416059,59.69434306569343,0.36031315006764125,5543828.0,2,5,430066669.0,2188058.0,0,1,0,4,SI0.0_GI1.0_CI0.0_EI4.0
FJI,929769.0,8702.975,2.3,67.44,54.02374087591241,55.48072080291971,55.71657846715329,53.832116788321166,0.39888842023259635,0.0,2,5,32113603.0,406478.0,4,4,4,4,SI4.0_GI4.0_CI4.0_EI4.0
FRA,67813000.0,38605.671,5.98,82.66,42.27250912408759,47.96346715328467,49.79439781021898,35.15054744525548,1.3448418584770636,600266651.2,2,5,12972365264.0,99952746.0,2,2,2,2,SI2.0_GI2.0_CI2.0_EI2.0
GAB,2388997.0,16562.413,6.3,66.47,47.46268248175183,45.370848540145985,47.01462591240876,33.85036496350365,0.06923927018708022,0.0,2,5,28237346.0,181292.0,3,2,2,2,SI3.0_GI2.0_CI2.0_EI2.0
GBR,67508936.0,39753.244,2.54,81.32,43.06886861313868,47.94716240875912,46.68338503649635,56.79744525547445,1.9667041008818784,16088688901.08,2,5,10372160938.0,145516031.0,2,2,2,4,SI2.0_GI2.0_CI2.0_EI4.0
GEO,3744385.0,9745.079,2.6,73.77,43.51702554744526,43.61724452554745,47.378622262773725,17.29014598540146,2.0624365735209027,0.0,2,5,775174666.0,8463922.0,2,1,2,1,SI2.0_GI1.0_CI2.0_EI1.0
GHA,33475870.0,4227.63,0.9,64.07,42.581414233576645,40.79484489051095,45.54116788321168,7.572992700729927,0.024394545971024396,220000000.0,2,5,106145210.0,895025.0,2,1,1,0,SI2.0_GI1.0_CI1.0_EI0.0
GIN,13859349.0,1998.9259999999997,0.3,61.60000000000001,52.760620437956206,47.88762773722628,53.208731751824814,10.629562043795621,0.016989901769714422,0.0,2,5,24481340.0,258074.0,4,2,3,0,SI4.0_GI2.0_CI3.0_EI0.0
GMB,2705995.0,1561.767,1.1,62.050000000000004,32.8836496350365,36.26269160583942,40.99352189781022,3.136405109489051,0.07890428420604842,0.0,2,5,7569720.0,234012.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
GRC,10384972.0,24574.382,4.21,82.24,52.54457116788321,60.402299270072994,57.4523905109489,81.04470802919708,1.3647586076310363,3242505.0,2,5,1587385850.0,15533586.0,4,4,4,4,SI4.0_GI4.0_CI4.0_EI4.0
GTM,17843914.0,7423.808,0.6,74.3,53.457545620437955,51.94133211678832,52.98520072992701,44.63959854014598,0.5635056803014304,0.0,2,5,495301010.0,11020441.0,4,3,3,3,SI4.0_GI3.0_CI3.0_EI3.0
GUY,808727.0,7435.047,1.6,69.91,52.199142335766425,52.84697080291971,55.786295620437954,32.2764598540146,0.7446076445689869,3589867.22,2,5,32456462.0,659994.0,4,4,4,2,SI4.0_GI4.0_CI4.0_EI2.0
HND,10432858.0,4541.795,0.7,75.27,62.847700729927006,61.64684306569343,61.439288321167886,63.10447080291971,0.6106175617331907,0.0,2,5,270682008.0,6982053.0,4,4,4,4,SI4.0_GI4.0_CI4.0_EI4.0
HRV,4030361.0,22669.797,5.54,78.49,33.40400547445255,42.01609489051095,43.169625912408755,33.941605839416056,2.003403158229345,3292815.0,2,5,561516126.0,8849584.0,0,1,1,2,SI0.0_GI1.0_CI1.0_EI2.0
HTI,11585003.0,1653.173,0.7,64.0,44.14991788321168,42.2491697080292,44.6915602189781,25.159671532846716,0.040434070851495536,0.0,0,0,19855195.0,513398.0,2,1,1,1,SI2.0_GI1.0_CI1.0_EI1.0
HUN,9967304.0,26777.561,7.02,76.88,36.542892335766425,42.371934306569344,42.27564781021898,43.05428832116788,2.4610149651871103,19959700.0,2,5,993834213.0,26884534.0,1,1,1,3,SI1.0_GI1.0_CI1.0_EI3.0
IDN,275501344.0,11188.744,1.04,71.72,54.45875,54.378722627737226,55.98177919708029,43.15693430656934,0.296076665094541,338558.0,2,5,3234737165.0,89400193.0,4,4,4,3,SI4.0_GI4.0_CI4.0_EI3.0
IND,1417173120.0,6426.674,0.53,69.66,57.865191605839414,55.96271897810219,59.56144160583942,30.770985401459853,0.21170871269263858,130205680.0,2,4,26092561707.0,328830575.0,4,4,4,2,SI4.0_GI4.0_CI4.0_EI2.0
IRL,5023108.0,67335.293,2.96,82.3,42.542947080291974,51.237764598540146,48.24720802919708,72.17153284671532,0.8906678137197043,33433914.0,2,5,685483043.0,4903417.0,2,3,2,4,SI2.0_GI3.0_CI2.0_EI4.0
IRN,88550568.0,19082.62,1.5,76.68,59.33673357664233,50.64114051094891,52.91448905109489,34.728558394160586,0.935487380144339,0.0,2,5,4097992478.0,90790381.0,4,3,3,2,SI4.0_GI3.0_CI3.0_EI2.0
IRQ,44496124.0,15663.985999999999,1.4,70.6,58.38047445255474,51.386605839416056,55.35071167883211,23.642791970802918,0.35715035694666497,0.0,2,5,1441419995.0,17417420.0,4,3,4,1,SI4.0_GI3.0_CI4.0_EI1.0
ISL,372903.0,46482.958,2.91,82.99,30.61391423357664,41.80252737226277,37.46819343065693,72.13731751824818,0.1716704434066345,0.0,2,5,68166842.0,70162.0,0,1,0,4,SI0.0_GI1.0_CI0.0_EI4.0
ISR,9449000.0,33132.32,2.99,82.97,43.283403284671536,55.25209854014599,52.55301094890511,74.13321167883211,0.6497355569237234,141155058.19,2,5,1896486150.0,6728729.0,2,4,3,4,SI2.0_GI4.0_CI3.0_EI4.0
ITA,59037472.0,35220.084,3.18,83.51,52.284242700729926,61.36648722627737,61.730602189781024,58.82755474452555,1.780800719714713,5953246.0,2,5,8352708189.0,115226834.0,4,4,4,4,SI4.0_GI4.0_CI4.0_EI4.0
JAM,2827382.0,8193.571,1.7,74.47,53.979808394160585,51.91721715328467,56.47369525547445,20.027372262773724,0.5166682219300166,41248350.13,2,5,72156583.0,1601057.0,4,3,4,1,SI4.0_GI3.0_CI4.0_EI1.0
JOR,11285875.0,8337.49,1.4,74.53,41.26021897810219,41.39062043795621,43.71241788321168,25.136861313868614,0.6867678810773656,0.0,2,5,872434590.0,8494851.0,1,1,1,1,SI1.0_GI1.0_CI1.0_EI1.0
JPN,123951696.0,39002.223,13.05,84.63,40.35818430656934,49.88975364963503,44.706651459854015,86.17700729927007,0.13090375706299273,8269849765.0,2,5,5145357661.0,17783414.0,1,3,1,4,SI1.0_GI3.0_CI1.0_EI4.0
KAZ,19397998.0,24055.588,6.7,73.6,51.24129562043795,45.88244525547446,50.887864963503645,10.846259124087592,0.5106946328767168,0.0,2,5,763289284.0,10857473.0,3,2,3,0,SI3.0_GI2.0_CI3.0_EI0.0
KEN,54027484.0,2993.028,1.4,66.7,51.549543795620444,50.02369525547445,54.03923357664234,21.920620437956206,0.05978676796489425,1900000.0,2,5,198006066.0,3540221.0,3,3,4,1,SI3.0_GI3.0_CI4.0_EI1.0
KGZ,6630621.0,3393.474,4.5,71.45,46.01752737226278,48.27310218978102,47.00501824817518,57.13959854014598,0.2812084537529919,0.0,2,5,131985810.0,2043587.0,3,2,2,4,SI3.0_GI2.0_CI2.0_EI4.0
KHM,16767851.0,3645.07,0.8,69.82,45.121569343065694,41.0573996350365,45.00769160583942,13.412408759124087,0.08362751133911177,0.0,2,5,69985685.0,1536870.0,2,1,1,0,SI2.0_GI1.0_CI1.0_EI0.0
KIR,131237.0,1981.1320000000003,1.9000000000000001,68.37,25.193649635036493,25.450328467153287,27.286322992700732,12.614051094890511,0.02865073490212642,0.0,2,5,1071124.0,4121.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
